Area code,Area name,Superfast availability,Gigabit availability,Below universal service obligation,"Average download speed
(Mbps)",Receiving under 10 Mbps,Receiving over 30 Mbps,local_authority_code
E02005983,Abingdon Town & West,0.952243861134631,0.699915325994919,0.0,125.108754949406,0.0153981522217333,0.867135943686757,E07000180
E02005985,Abingdon South,0.999148211243611,0.86541737649063,0.0,154.104322469982,0.0219554030874785,0.892967409948542,E07000180
E02005966,Didcot Ladygrove,0.999188092016238,0.90148849797023,0.0,142.639402427637,0.0136943666355431,0.951136009959539,E07000179
E02005967,Didcot West,0.963463819691577,0.816844602609727,0.0,175.984199825733,0.0194597734533836,0.898634911414464,E07000179
E02005969,Wallingford & Brightwell,0.988940277498491,0.704202694550573,0.0,128.793032258064,0.00954838709677419,0.889806451612903,E07000179
E02005970,Didcot South East,0.999612403100775,0.881395348837209,0.0,154.41809976247,0.0014251781472684,0.916389548693586,E07000179
E02005971,Didcot South West,0.998886827458256,0.874211502782931,0.0,162.143835616438,0.0106053910737958,0.898365002209456,E07000179
E02005984,Kingston Bagpuize & East Hanney,0.97597947761194,0.900419776119402,0.00163246268656716,190.977631924389,0.0330795484379102,0.891835127330007,E07000180
E02005986,Faringdon & Stanford,0.9853590052146,0.70517448856799,0.000601684717208182,77.9386853728241,0.0163678877630553,0.863600935307872,E07000180
E02005987,"Sutton Courtenay, Drayton & Steventon",0.98840339614827,0.808863118658107,0.0,136.411892164273,0.0254472159234064,0.895439657344419,E07000180
E02005988,Grove,0.986868462052081,0.957044291119519,0.0,182.313338701019,0.0203972088030059,0.91358024691358,E07000180
E02005991,Wantage Town,0.997564174629942,0.907813378302417,0.0,155.787995391705,0.0156682027649769,0.863594470046082,E07000180
E02005992,"South Wantage, Harwell & Blewbury",0.967060937266057,0.714478215301691,0.00074861506213505,138.702021336327,0.0320044918585064,0.868425977915029,E07000180
E02006886,"Shrivenham, Watchfield & Uffington",0.964659685863874,0.659540430482838,0.00174520069808027,116.784895929268,0.0425492724258611,0.826487382575059,E07000180
E02005993,Chipping Norton,0.995379876796714,0.897587268993839,0.0,70.1185973482205,0.0125610607117934,0.86496859734822,E07000181
E02005994,"Kingham, Enstone & Middle Barton",0.984994998332777,0.939313104368122,0.000666888962987662,152.337830264211,0.0684547638110488,0.842273819055244,E07000181
E02005995,Chadlington & Wychwoods,0.989480198019802,0.934715346534653,0.0,149.295780903034,0.0451517394522575,0.816432272390821,E07000181
E02005996,"Woodstock, Stonesfield & Tackley",0.994129600361255,0.844885978776247,0.000225784601490178,119.889685737308,0.0249798549556809,0.878323932312651,E07000181
E02005997,Charlbury & North Leigh,0.99392507593655,0.873101586230172,0.0,137.545630285944,0.0306081353201772,0.884414015304067,E07000181
E02005998,Hanborough & Cassington,0.99395039322444,0.918330308529945,0.0,130.865044722719,0.0221824686940966,0.877996422182468,E07000181
E02005999,"Leafield, Minster Lovell & Duckington",0.987469437652811,0.95140586797066,0.00122249388753056,153.33064516129,0.0544802867383512,0.824014336917562,E07000181
E02006000,Witney East,0.999807913945447,0.981751824817518,0.0,160.404389795449,0.0165479200183865,0.902551137669501,E07000181
E02006001,Witney West,0.998615725359911,0.985603543743078,0.000276854928017718,167.46255389718,0.0245439469320066,0.920729684908789,E07000181
E02006002,Witney Central,0.998439937597503,0.955278211128445,0.000173340266944011,148.950280051701,0.0316673847479534,0.863636363636363,E07000181
E02006003,Eynsham & Stanton Harcourt,0.99293405114401,0.921601615074024,0.00201884253028263,190.249799839871,0.0424339471577261,0.8306645316253,E07000181
E02006004,Burford & Brize Norton,0.986933555740895,0.753683625243258,0.00194606616624965,150.844961489088,0.0686777920410783,0.814826700898587,E07000181
E02006005,Carterton North,0.995551393116366,0.941231561695153,0.0,182.597443023902,0.0141745414118954,0.88438021122846,E07000181
E02006006,Carterton South,0.998114630467571,0.924962292609351,0.0,167.877678989237,0.0215255030416471,0.876930276087973,E07000181
E02006007,"Bampton, Clanfield & Standlake",0.98196625945317,0.845840605002908,0.00145433391506689,174.370343523479,0.0501103057043807,0.812795461708162,E07000181
